highpass_cutoff,min_silence_len,silence_thresh,transcripcion,num_chunks,palabras_validas,errores
80,200,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],21,126,21
80,200,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],21,126,21
80,200,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],14,84,14
80,500,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],17,102,17
80,500,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],17,102,17
80,500,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],8,48,8
80,800,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],8,48,8
80,800,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],8,48,8
80,800,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],3,18,3
150,200,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],20,120,20
150,200,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],20,120,20
150,200,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],15,90,15
150,500,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],17,102,17
150,500,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],17,102,17
150,500,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],8,48,8
150,800,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],9,54,9
150,800,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],9,54,9
150,800,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],4,24,4
300,200,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],21,126,21
300,200,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],21,126,21
300,200,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],19,114,19
300,500,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],17,102,17
300,500,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],17,102,17
300,500,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],12,72,12
300,800,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],9,54,9
300,800,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],9,54,9
300,800,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],4,24,4
